								PROMO

ESTOQUE	SKU BASE	CODIGO ASIN	SKU ANUNCIO	PRODUTO	PREÇO DE CUSTO	PREÇO DE VENDA	COMISSÃO AMZ	TARIFA FBA	IMPOSTO	CAIXA	EMBALGEM	FRETE	ADS	DEVOLUÇÕES	PARCELAMENTO	MARGEM	LUCRO LIQ
77	CAR200P		KIT6CAR200P	Kit 6 Caneca Porcelana Reta 200ml Preto	R$ 19,80	R$ 55,90	R$ 6,71	R$ 5,00	R$ 3,91	R$ 0,97	R$ 0,50	R$ 0,00	R$ 11,18	R$ 2,24	R$ 0,84	9%	R$ 4,75
18	TL6250	B0GFPQD4G9	TL6250	Kit 6 Canecas Porcelana Tulipa Lisa 250ml Coloridas Café Chá Xícara - Presente Casa	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
97	TL250B	B0GGTTMD4H	TL250B	Kit 6 Canecas Tulipa Porcelana 250ml Branca Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
89	TL250P	B0GGTY2BLT	TL250P	Kit 6 Canecas Tulipa Porcelana 250ml Preta Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
114	TL250V	B0GGTQ7YNR	TL250V	Kit 6 Canecas Tulipa Porcelana 250ml Verde Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
19	TL250R	B0GGTVQQCJ	TL250R	Kit 6 Canecas Tulipa Porcelana 250ml Rosa Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
118	TL250Z	B0GGTL4HQ2	TL250Z	Kit 6 Canecas Tulipa Porcelana 250ml Azul Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
35	TL250A	B0GGTK2JL3	TL250A	Kit 6 Canecas Tulipa Porcelana 250ml Amarela Café Chá Xícara	R$ 22,80	R$ 69,90	R$ 8,39	R$ 5,00	R$ 4,89	R$ 0,97	R$ 0,50	R$ 0,00	R$ 13,98	R$ 2,80	R$ 1,05	14%	R$ 9,52
46	SPC011	B0GH2BTQFJ	SPC002	Suporte Gamer 2 Controles e Headset Mesa Organizador PS5 PS4 Xbox Switch Preto	R$ 3,90	R$ 23,90	R$ 2,87	R$ 5,00	R$ 1,67	R$ 0,97	R$ 0,50	R$ 0,00	R$ 4,78	R$ 0,96	R$ 0,00	14%	R$ 3,25
149	SPC013	B0GTQXRDTM	SPC000	Suporte Gamer 2 Controles e Headset Mesa Organizador PS5 PS4 Xbox Switch Cru	R$ 3,90	R$ 23,90	R$ 2,87	R$ 5,00	R$ 1,67	R$ 0,97	R$ 0,50	R$ 0,00	R$ 4,78	R$ 0,96	R$ 0,00	14%	R$ 3,25
